id,f_type,f_id,translation_en,translation_ru,value,answer,speaker_id,sex,age,tukhum
121,grammar,4,big grasshoppers,большие кузнечики,j-etʃ’uχol,Йеч1ухол гъац1ол,4,m,42,NA
123,grammar,5,the parents left,родители ушли,ru-ʔon,ила има РУъон,4,m,42,NA
125,grammar,6,pour your father some water,налей отцу воды,dada-ɬu,т1инно дадаЛЪУ лъен,4,m,42,NA
127,grammar,7,pour your cow some water,налей корове воды,zĩw-ɬu,т1инно зив(у)ЛЪУ лъен,4,m,42,NA
130,grammar,8,third girl,третья девочка,ɬobdeb,лъобдЕБ йоши,4,m,42,NA
132,grammar,9,the bride was beautiful at the wedding,на свадьбе невеста была красивая,ji-ʁi,реххиноъа бах1арай багъу йиГЪи,4,m,42,NA
134,grammar,10,heels,пятка pl,miʒa-lol,мижаЛОЛ,4,m,42,NA
137,grammar,11,sons-in-law,зять pl,nuso-bdul,нусоБДУЛ,4,m,42,NA
138,grammar,12,they are eating,они кушают,wokoma-do,гьегевул вокомаДО,4,m,42,NA
140,grammar,13,"when he comes, we will eat","когда он придет, будем кушать",wuʔo-rbi,вуъоРБИ,4,m,42,NA
145,lexical,14,rainbow,радуга,joʃikʷa,сороди йошиква йичонний,4,m,42,NA
147,lexical,15,north,север,sibir,сибир,4,m,42,NA
152,lexical,16,thousand,тысяча,ozuruɡu,озУругу,4,m,42,NA
154,grammar,1,big butterfly,большая бабочка,b-etʃ’uχa,Беч1уха одорук1а,5,f,68,Гъапурилалуб
156,grammar,2,big butterflies,большие бабочки,j-etʃ’uχol,Йеч1ухол одорук1ол,5,f,68,Гъапурилалуб
158,grammar,3,big grasshopper,большой кузнечик,b-etʃ’uχa,Беч1уха гъац1а,5,f,68,Гъапурилалуб
160,grammar,4,big grasshoppers,большие кузнечики,j-etʃ’uχol,Йеч1ухол гъац1ол,5,f,68,Гъапурилалуб
162,grammar,5,the parents left,родители ушли,ru-ʔon,ила има РУъон,5,f,68,Гъапурилалуб
164,grammar,6,pour your father some water,налей отцу воды,dada-ɬu,т1инно дадаЛЪУ лъен,5,f,68,Гъапурилалуб
166,grammar,7,pour your cow some water,налей корове воды,zĩw-ɬu,т1инно зив(у)ЛЪУ лъен,5,f,68,Гъапурилалуб
169,grammar,8,third girl,третья девочка,ɬobdeb,лъобдЕБ йоши,5,f,68,Гъапурилалуб
171,grammar,9,the bride was beautiful at the wedding,на свадьбе невеста была красивая,ji-ʁi,реххиноъа бах1арай багъу йиГЪи,5,f,68,Гъапурилалуб
173,grammar,10,heels,пятка pl,miʒa-lol,мижаЛОЛ,5,f,68,Гъапурилалуб
176,grammar,11,sons-in-law,зять pl,nuso-bdul,нусоБДУЛ,5,f,68,Гъапурилалуб
177,grammar,12,they are eating,они кушают,wokoma-do,гьегевул вокомаДО,5,f,68,Гъапурилалуб
180,grammar,13,"when he comes, we will eat","когда он придет, будем кушать",wuʔo-rbildi,вуъоРБИЛДИ,5,f,68,Гъапурилалуб
183,lexical,14,rainbow,радуга,raduɡa,радуга,5,f,68,Гъапурилалуб
188,lexical,15,north,север,sewer,север,5,f,68,Гъапурилалуб
192,lexical,16,thousand,тысяча,ozuruɡu,озУругу,5,f,68,Гъапурилалуб
195,grammar,1,big butterfly,большая бабочка,r-etʃ’uχa,Реч1уха одорук1а,6,m,59,"Балталал, Хасик1олал"
196,grammar,2,big butterflies,большие бабочки,j-etʃ’uχol,Йеч1ухол одорук1ол,6,m,59,"Балталал, Хасик1олал"
198,grammar,3,big grasshopper,большой кузнечик,b-etʃ’uχa,Беч1уха гъац1а,6,m,59,"Балталал, Хасик1олал"
200,grammar,4,big grasshoppers,большие кузнечики,j-etʃ’uχol,Йеч1ухол гъац1ол,6,m,59,"Балталал, Хасик1олал"
202,grammar,5,the parents left,родители ушли,ru-ʔon,ила има РУъон,6,m,59,"Балталал, Хасик1олал"
205,grammar,6,pour your father some water,налей отцу воды,dada-j,т1инно дадаЙ лъен,6,m,59,"Балталал, Хасик1олал"
206,grammar,7,pour your cow some water,налей корове воды,zĩw-ɬu,т1инно зив(у)ЛЪУ лъен,6,m,59,"Балталал, Хасик1олал"
209,grammar,8,third girl,третья девочка,ɬobdeb,лъобдЕБ йоши,6,m,59,"Балталал, Хасик1олал"
210,grammar,9,the bride was beautiful at the wedding,на свадьбе невеста была красивая,ji-k’o,реххиноъа бах1арай багъу йиК1о,6,m,59,"Балталал, Хасик1олал"
213,grammar,10,heels,пятка pl,miʒa-lol,мижаЛОЛ,6,m,59,"Балталал, Хасик1олал"
216,grammar,11,sons-in-law,зять pl,nuso-bdul,нусоБДУЛ,6,m,59,"Балталал, Хасик1олал"
217,grammar,12,they are eating,они кушают,wokoma-do,гьегевул вокомаДО,6,m,59,"Балталал, Хасик1олал"
220,grammar,13,"when he comes, we will eat","когда он придет, будем кушать",wuʔo-rbildi,вуъоРБИЛДИ,6,m,59,"Балталал, Хасик1олал"
224,lexical,14,rainbow,радуга,hortʃ'ːi,сороди гьорч1ч1и йичонний,6,m,59,"Балталал, Хасик1олал"
227,lexical,15,north,север,sibir,сибир,6,m,59,"Балталал, Хасик1олал"
233,lexical,16,thousand,тысяча,oziruɡu,озИругу,6,m,59,"Балталал, Хасик1олал"
234,grammar,1,big butterfly,большая бабочка,b-etʃ’uχa,Беч1уха одорук1а,7,f,53,Х1анапилалуб тухум
236,grammar,2,big butterflies,большие бабочки,j-etʃ’uχol,Йеч1ухол одорук1ол,7,f,53,Х1анапилалуб тухум
238,grammar,3,big grasshopper,большой кузнечик,b-etʃ’uχa,Беч1уха гъац1а,7,f,53,Х1анапилалуб тухум
240,grammar,4,big grasshoppers,большие кузнечики,j-etʃ’uχol,Йеч1ухол гъац1ол,7,f,53,Х1анапилалуб тухум
242,grammar,5,the parents left,родители ушли,ru-ʔon,ила има РУъон,7,f,53,Х1анапилалуб тухум
244,grammar,6,pour your father some water,налей отцу воды,dada-ɬu,т1инно дадаЛЪУ лъен,7,f,53,Х1анапилалуб тухум
246,grammar,7,pour your cow some water,налей корове воды,zĩw-ɬu,т1инно зив(у)ЛЪУ лъен,7,f,53,Х1анапилалуб тухум
249,grammar,8,third girl,третья девочка,ɬobdeb,лъобдЕБ йоши,7,f,53,Х1анапилалуб тухум
251,grammar,9,the bride was beautiful at the wedding,на свадьбе невеста была красивая,ji-ʁi,реххиноъа бах1арай багъу йиГЪи,7,f,53,Х1анапилалуб тухум
253,grammar,10,heels,пятка pl,miʒa-lol,мижаЛОЛ,7,f,53,Х1анапилалуб тухум
256,grammar,11,sons-in-law,зять pl,nuso-bdul,нусоБДУЛ,7,f,53,Х1анапилалуб тухум
257,grammar,12,they are eating,они кушают,wokoma-do,гьегевул вокомаДО,7,f,53,Х1анапилалуб тухум
259,grammar,13,"when he comes, we will eat","когда он придет, будем кушать",wuʔo-rbi,вуъоРБИ,7,f,53,Х1анапилалуб тухум
264,lexical,14,rainbow,радуга,hortʃ'ːi,сороди гьорч1ч1и йичонний,7,f,53,Х1анапилалуб тухум
268,lexical,15,north,север,sewer,север,7,f,53,Х1анапилалуб тухум
272,lexical,16,thousand,тысяча,ozuruɡu,озУругу,7,f,53,Х1анапилалуб тухум
274,grammar,1,big butterfly,большая бабочка,b-etʃ’uχa,Беч1уха одорук1а,8,m,65,"Куналал, Суйгемадаб тухум"
276,grammar,2,big butterflies,большие бабочки,j-etʃ’uχol,Йеч1ухол одорук1ол,8,m,65,"Куналал, Суйгемадаб тухум"
278,grammar,3,big grasshopper,большой кузнечик,b-etʃ’uχa,Беч1уха гъац1а,8,m,65,"Куналал, Суйгемадаб тухум"
280,grammar,4,big grasshoppers,большие кузнечики,j-etʃ’uχol,Йеч1ухол гъац1ол,8,m,65,"Куналал, Суйгемадаб тухум"
282,grammar,5,the parents left,родители ушли,ru-ʔon,ила има РУъон,8,m,65,"Куналал, Суйгемадаб тухум"
284,grammar,6,pour your father some water,налей отцу воды,dada-ɬu,т1инно дадаЛЪУ лъен,8,m,65,"Куналал, Суйгемадаб тухум"
286,grammar,7,pour your cow some water,налей корове воды,zĩw-ɬu,т1инно зив(у)ЛЪУ лъен,8,m,65,"Куналал, Суйгемадаб тухум"
289,grammar,8,third girl,третья девочка,ɬobdeb,лъобдЕБ йоши,8,m,65,"Куналал, Суйгемадаб тухум"
291,grammar,9,the bride was beautiful at the wedding,на свадьбе невеста была красивая,ji-ʁi,реххиноъа бах1арай багъу йиГЪи,8,m,65,"Куналал, Суйгемадаб тухум"
293,grammar,10,heels,пятка pl,miʒa-lol,мижаЛОЛ,8,m,65,"Куналал, Суйгемадаб тухум"
296,grammar,11,sons-in-law,зять pl,nuso-bdul,нусоБДУЛ,8,m,65,"Куналал, Суйгемадаб тухум"
298,grammar,12,they are eating,они кушают,wokoma-lo,гьегевул вокомаЛО,8,m,65,"Куналал, Суйгемадаб тухум"
300,grammar,13,"when he comes, we will eat","когда он придет, будем кушать",wuʔo-rbildi,вуъоРБИЛДИ,8,m,65,"Куналал, Суйгемадаб тухум"
304,lexical,14,rainbow,радуга,hortʃ'ːi,сороди гьорч1ч1и йичонний,8,m,65,"Куналал, Суйгемадаб тухум"
307,lexical,15,north,север,sibir,сибир,8,m,65,"Куналал, Суйгемадаб тухум"
312,lexical,16,thousand,тысяча,ozuruɡu,озУругу,8,m,65,"Куналал, Суйгемадаб тухум"
314,grammar,1,big butterfly,большая бабочка,b-etʃ’uχa,Беч1уха одорук1а,9,m,73,"Гьекьилавлал, Къабакол"
316,grammar,2,big butterflies,большие бабочки,j-etʃ’uχol,Йеч1ухол одорук1ол,9,m,73,"Гьекьилавлал, Къабакол"
318,grammar,3,big grasshopper,большой кузнечик,b-etʃ’uχa,Беч1уха гъац1а,9,m,73,"Гьекьилавлал, Къабакол"
320,grammar,4,big grasshoppers,большие кузнечики,j-etʃ’uχol,Йеч1ухол гъац1ол,9,m,73,"Гьекьилавлал, Къабакол"
322,grammar,5,the parents left,родители ушли,ru-ʔon,ила има РУъон,9,m,73,"Гьекьилавлал, Къабакол"
325,grammar,6,pour your father some water,налей отцу воды,dada-j,т1инно дадаЙ лъен,9,m,73,"Гьекьилавлал, Къабакол"
326,grammar,7,pour your cow some water,налей корове воды,zĩw-ɬu,т1инно зив(у)ЛЪУ лъен,9,m,73,"Гьекьилавлал, Къабакол"
329,grammar,8,third girl,третья девочка,ɬobdeb,лъобдЕБ йоши,9,m,73,"Гьекьилавлал, Къабакол"
331,grammar,9,the bride was beautiful at the wedding,на свадьбе невеста была красивая,ji-ʁi,реххиноъа бах1арай багъу йиГЪи,9,m,73,"Гьекьилавлал, Къабакол"
333,grammar,10,heels,пятка pl,miʒa-lol,мижаЛОЛ,9,m,73,"Гьекьилавлал, Къабакол"
336,grammar,11,sons-in-law,зять pl,nuso-bdul,нусоБДУЛ,9,m,73,"Гьекьилавлал, Къабакол"
337,grammar,12,they are eating,они кушают,wokoma-do,гьегевул вокомаДО,9,m,73,"Гьекьилавлал, Къабакол"
339,grammar,13,"when he comes, we will eat","когда он придет, будем кушать",wuʔo-rbi,вуъоРБИ,9,m,73,"Гьекьилавлал, Къабакол"
345,lexical,14,rainbow,радуга,joʃikʷa,сороди йошиква йичонний,9,m,73,"Гьекьилавлал, Къабакол"
348,lexical,15,north,север,sewer,север,9,m,73,"Гьекьилавлал, Къабакол"
353,lexical,16,thousand,тысяча,oziruɡu,озИругу,9,m,73,"Гьекьилавлал, Къабакол"
354,grammar,1,big butterfly,большая бабочка,b-etʃ’uχa,Беч1уха одорук1а,10,f,36,Тирмач
356,grammar,2,big butterflies,большие бабочки,j-etʃ’uχol,Йеч1ухол одорук1ол,10,f,36,Тирмач
358,grammar,3,big grasshopper,большой кузнечик,b-etʃ’uχa,Беч1уха гъац1а,10,f,36,Тирмач
360,grammar,4,big grasshoppers,большие кузнечики,j-etʃ’uχol,Йеч1ухол гъац1ол,10,f,36,Тирмач
362,grammar,5,the parents left,родители ушли,ru-ʔon,ила има РУъон,10,f,36,Тирмач
364,grammar,6,pour your father some water,налей отцу воды,dada-ɬu,т1инно дадаЛЪУ лъен,10,f,36,Тирмач
366,grammar,7,pour your cow some water,налей корове воды,zĩw-ɬu,т1инно зив(у)ЛЪУ лъен,10,f,36,Тирмач
369,grammar,8,third girl,третья девочка,ɬobdeb,лъобдЕБ йоши,10,f,36,Тирмач
371,grammar,9,the bride was beautiful at the wedding,на свадьбе невеста была красивая,ji-ʁi,реххиноъа бах1арай багъу йиГЪи,10,f,36,Тирмач
373,grammar,10,heels,пятка pl,miʒa-lol,мижаЛОЛ,10,f,36,Тирмач
376,grammar,11,sons-in-law,зять pl,nuso-bdul,нусоБДУЛ,10,f,36,Тирмач
378,grammar,12,they are eating,они кушают,wokoma-lo,гьегевул вокомаЛО,10,f,36,Тирмач
381,grammar,13,"when he comes, we will eat","когда он придет, будем кушать",wuʔo-rbihi,вуъоРБИГЬИ,10,f,36,Тирмач
385,lexical,14,rainbow,радуга,joʃikʷa,сороди йошиква йичонний,10,f,36,Тирмач
388,lexical,15,north,север,sewer,север,10,f,36,Тирмач
392,lexical,16,thousand,тысяча,ozuruɡu,озУругу,10,f,36,Тирмач
395,grammar,1,big butterfly,большая бабочка,r-etʃ’uχa,Реч1уха одорук1а,11,m,30,"Гьаджилал, Ордашилал"
397,grammar,2,big butterflies,большие бабочки,r-etʃ’uχol,Реч1ухол одорук1ол,11,m,30,"Гьаджилал, Ордашилал"
398,grammar,3,big grasshopper,большой кузнечик,b-etʃ’uχa,Беч1уха гъац1а,11,m,30,"Гьаджилал, Ордашилал"
400,grammar,4,big grasshoppers,большие кузнечики,j-etʃ’uχol,Йеч1ухол гъац1ол,11,m,30,"Гьаджилал, Ордашилал"
403,grammar,5,the parents left,родители ушли,wo-ʔon,ила има ВОъон,11,m,30,"Гьаджилал, Ордашилал"
404,grammar,6,pour your father some water,налей отцу воды,dada-ɬu,т1инно дадаЛЪУ лъен,11,m,30,"Гьаджилал, Ордашилал"
406,grammar,7,pour your cow some water,налей корове воды,zĩw-ɬu,т1инно зив(у)ЛЪУ лъен,11,m,30,"Гьаджилал, Ордашилал"
409,grammar,8,third girl,третья девочка,ɬobdeb,лъобдЕБ йоши,11,m,30,"Гьаджилал, Ордашилал"
411,grammar,9,the bride was beautiful at the wedding,на свадьбе невеста была красивая,ji-ʁi,реххиноъа бах1арай багъу йиГЪи,11,m,30,"Гьаджилал, Ордашилал"
413,grammar,10,heels,пятка pl,miʒa-lol,мижаЛОЛ,11,m,30,"Гьаджилал, Ордашилал"
416,grammar,11,sons-in-law,зять pl,nuso-bdul,нусоБДУЛ,11,m,30,"Гьаджилал, Ордашилал"
417,grammar,12,they are eating,они кушают,wokoma-do,гьегевул вокомаДО,11,m,30,"Гьаджилал, Ордашилал"
421,grammar,13,"when he comes, we will eat","когда он придет, будем кушать",wuʔo-rbihi,вуъоРБИГЬИ,11,m,30,"Гьаджилал, Ордашилал"
425,lexical,14,rainbow,радуга,joʃikʷa,сороди йошиква йичонний,11,m,30,"Гьаджилал, Ордашилал"
428,lexical,15,north,север,sewer,север,11,m,30,"Гьаджилал, Ордашилал"
433,lexical,16,thousand,тысяча,oziruɡu,озИругу,11,m,30,"Гьаджилал, Ордашилал"
434,grammar,1,big butterfly,большая бабочка,b-etʃ’uχa,Беч1уха одорук1а,12,m,33,Сут1а
436,grammar,2,big butterflies,большие бабочки,j-etʃ’uχol,Йеч1ухол одорук1ол,12,m,33,Сут1а
438,grammar,3,big grasshopper,большой кузнечик,b-etʃ’uχa,Беч1уха гъац1а,12,m,33,Сут1а
440,grammar,4,big grasshoppers,большие кузнечики,j-etʃ’uχol,Йеч1ухол гъац1ол,12,m,33,Сут1а
442,grammar,5,the parents left,родители ушли,ru-ʔon,ила има РУъон,12,m,33,Сут1а
444,grammar,6,pour your father some water,налей отцу воды,dada-ɬu,т1инно дадаЛЪУ лъен,12,m,33,Сут1а
446,grammar,7,pour your cow some water,налей корове воды,zĩw-ɬu,т1инно зив(у)ЛЪУ лъен,12,m,33,Сут1а
449,grammar,8,third girl,третья девочка,ɬobdeb,лъобдЕБ йоши,12,m,33,Сут1а
451,grammar,9,the bride was beautiful at the wedding,на свадьбе невеста была красивая,ji-ʁi,реххиноъа бах1арай багъу йиГЪи,12,m,33,Сут1а
453,grammar,10,heels,пятка pl,miʒa-lol,мижаЛОЛ,12,m,33,Сут1а
456,grammar,11,sons-in-law,зять pl,nuso-bdul,нусоБДУЛ,12,m,33,Сут1а
457,grammar,12,they are eating,они кушают,wokoma-do,гьегевул вокомаДО,12,m,33,Сут1а
459,grammar,13,"when he comes, we will eat","когда он придет, будем кушать",wuʔo-rbi,вуъоРБИ,12,m,33,Сут1а
463,lexical,14,rainbow,радуга,raduɡa,радуга,12,m,33,Сут1а
468,lexical,15,north,север,sewer,север,12,m,33,Сут1а
472,lexical,16,thousand,тысяча,ozuruɡu,озУругу,12,m,33,Сут1а
475,grammar,1,big butterfly,большая бабочка,r-etʃ’uχa,Реч1уха одорук1а,13,f,50,Гъойтилал
476,grammar,2,big butterflies,большие бабочки,j-etʃ’uχol,Йеч1ухол одорук1ол,13,f,50,Гъойтилал
478,grammar,3,big grasshopper,большой кузнечик,b-etʃ’uχa,Беч1уха гъац1а,13,f,50,Гъойтилал
480,grammar,4,big grasshoppers,большие кузнечики,j-etʃ’uχol,Йеч1ухол гъац1ол,13,f,50,Гъойтилал
482,grammar,5,the parents left,родители ушли,ru-ʔon,ила има РУъон,13,f,50,Гъойтилал
484,grammar,6,pour your father some water,налей отцу воды,dada-ɬu,т1инно дадаЛЪУ лъен,13,f,50,Гъойтилал
486,grammar,7,pour your cow some water,налей корове воды,zĩw-ɬu,т1инно зив(у)ЛЪУ лъен,13,f,50,Гъойтилал
489,grammar,8,third girl,третья девочка,ɬobdeb,лъобдЕБ йоши,13,f,50,Гъойтилал
491,grammar,9,the bride was beautiful at the wedding,на свадьбе невеста была красивая,ji-ʁi,реххиноъа бах1арай багъу йиГЪи,13,f,50,Гъойтилал
493,grammar,10,heels,пятка pl,miʒa-lol,мижаЛОЛ,13,f,50,Гъойтилал
496,grammar,11,sons-in-law,зять pl,nuso-bdul,нусоБДУЛ,13,f,50,Гъойтилал
497,grammar,12,they are eating,они кушают,wokoma-do,гьегевул вокомаДО,13,f,50,Гъойтилал
499,grammar,13,"when he comes, we will eat","когда он придет, будем кушать",wuʔo-rbi,вуъоРБИ,13,f,50,Гъойтилал
505,lexical,14,rainbow,радуга,joʃikʷa,сороди йошиква йичонний,13,f,50,Гъойтилал
508,lexical,15,north,север,sewer,север,13,f,50,Гъойтилал
512,lexical,16,thousand,тысяча,ozuruɡu,озУругу,13,f,50,Гъойтилал
514,grammar,1,big butterfly,большая бабочка,b-etʃ’uχa,Беч1уха одорук1а,14,f,24,Мазалал
516,grammar,2,big butterflies,большие бабочки,j-etʃ’uχol,Йеч1ухол одорук1ол,14,f,24,Мазалал
518,grammar,3,big grasshopper,большой кузнечик,b-etʃ’uχa,Беч1уха гъац1а,14,f,24,Мазалал
520,grammar,4,big grasshoppers,большие кузнечики,j-etʃ’uχol,Йеч1ухол гъац1ол,14,f,24,Мазалал
522,grammar,5,the parents left,родители ушли,ru-ʔon,ила има РУъон,14,f,24,Мазалал
524,grammar,6,pour your father some water,налей отцу воды,dada-ɬu,т1инно дадаЛЪУ лъен,14,f,24,Мазалал
526,grammar,7,pour your cow some water,налей корове воды,zĩw-ɬu,т1инно зив(у)ЛЪУ лъен,14,f,24,Мазалал
529,grammar,8,third girl,третья девочка,ɬobdeb,лъобдЕБ йоши,14,f,24,Мазалал
531,grammar,9,the bride was beautiful at the wedding,на свадьбе невеста была красивая,ji-ʁi,реххиноъа бах1арай багъу йиГЪи,14,f,24,Мазалал
533,grammar,10,heels,пятка pl,miʒa-lol,мижаЛОЛ,14,f,24,Мазалал
536,grammar,11,sons-in-law,зять pl,nuso-bdul,нусоБДУЛ,14,f,24,Мазалал
537,grammar,12,they are eating,они кушают,wokoma-do,гьегевул вокомаДО,14,f,24,Мазалал
539,grammar,13,"when he comes, we will eat","когда он придет, будем кушать",wuʔo-rbi,вуъоРБИ,14,f,24,Мазалал
543,lexical,14,rainbow,радуга,raduɡa,радуга,14,f,24,Мазалал
548,lexical,15,north,север,sewer,север,14,f,24,Мазалал
552,lexical,16,thousand,тысяча,ozuruɡu,озУругу,14,f,24,Мазалал
554,grammar,1,big butterfly,большая бабочка,b-etʃ’uχa,Беч1уха одорук1а,15,f,57,Хасик1олал
556,grammar,2,big butterflies,большие бабочки,j-etʃ’uχol,Йеч1ухол одорук1ол,15,f,57,Хасик1олал
558,grammar,3,big grasshopper,большой кузнечик,b-etʃ’uχa,Беч1уха гъац1а,15,f,57,Хасик1олал
560,grammar,4,big grasshoppers,большие кузнечики,j-etʃ’uχol,Йеч1ухол гъац1ол,15,f,57,Хасик1олал
563,grammar,5,the parents left,родители ушли,wo-ʔon,ила има ВОъон,15,f,57,Хасик1олал
564,grammar,6,pour your father some water,налей отцу воды,dada-ɬu,т1инно дадаЛЪУ лъен,15,f,57,Хасик1олал
566,grammar,7,pour your cow some water,налей корове воды,zĩw-ɬu,т1инно зив(у)ЛЪУ лъен,15,f,57,Хасик1олал
569,grammar,8,third girl,третья девочка,ɬobdeb,лъобдЕБ йоши,15,f,57,Хасик1олал
571,grammar,9,the bride was beautiful at the wedding,на свадьбе невеста была красивая,ji-ʁi,реххиноъа бах1арай багъу йиГЪи,15,f,57,Хасик1олал
573,grammar,10,heels,пятка pl,miʒa-lol,мижаЛОЛ,15,f,57,Хасик1олал
576,grammar,11,sons-in-law,зять pl,nuso-bdul,нусоБДУЛ,15,f,57,Хасик1олал
577,grammar,12,they are eating,они кушают,wokoma-do,гьегевул вокомаДО,15,f,57,Хасик1олал
