zilo_l,zilo_c,eng,rus,pos,remove
ʃaq'iboso,шакъибосо,purple,фиолетовый,Adjective,
ts'ik'ːu,ц1ик1к1у,acid,кислый,Adjective,
req'u,рекъу,lame.pl,хромой.pl,Adjective,
CL-etʃ'uɡu,CL-еч1угу,naked.pl,голый.pl,Adjective,
mitʃ'i,мич1и,small,маленький,Adjective,
tʃ'it'ir,ч1ит1ир,narrow.pl,узкий.pl,Adjective,
tʃadi,чади,yellow,желтый,Adjective,
CL-oχorol,CL-охорол,old.pl,старый.pl,Adjective,
tʃomlo,чомло,some,несколько,Adjective,
CL-ihu,CL-игьу,many.pl,много.pl,Adjective,
CL-eʔora,CL-еъора,thin.pl,тонкий.pl,Adjective,
tʃ'uruki,ч1уруки,dirty,грязный,Adjective,
hirts'i,гьирц1и,high,высокий,Adjective,
ɬolkoɬi,лъолколъи,light.pl,легкий.pl,Adjective,
qχella,хъелла,thin.pl,худой.pl,Adjective,
ts'iwu,ц1иву,new.pl,новый.pl,Adjective,
qχʷẽj,хъве̃й,grey,серый,Adjective,
ɬemu,лъему,watery,жидкий,Adjective,
tʃora,чора,fat.pl,жирный.pl,Adjective,
CL-etʃ'edir,CL-еч1едир,black,черный,Adjective,
badːibit'i,баддибит1и,straight,прямой,Adjective,
CL-eq'ub,CL-екъуб,dry.pl,сухой.pl,Adjective,
CL-eχːula,CL-еххула,long,длинний,Adjective,
tʃ'ilo,ч1ило,curved.pl,кривой.pl,Adjective,
CL-oχor,CL-охор,old,старый,Adjective,
CL-eq'ub,CL-екъуб,thick,густой,Adjective,
CL-iʃi,CL-иши,thick,толстый,Adjective,
req'u,рекъу,lame,хромой,Adjective,
sodo,содо,cold,холодный,Adjective,
ajbula,айбула,guilty,виновный,Adjective,
hirts'i,гьирц1и,high,высокий,Adjective,
ɬuna,лъуна,soft.pl,мягкий.pl,Adjective,
kutʃ'il,куч1ил,left,левый,Adjective,
tsĩw,ци2в,new,новый,Adjective,
utʃuzi,учузи,cheap,дешевый,Adjective,
CL-eʔora,CL-еъора,thin,тонкий,Adjective,
tʃ'uruki,ч1уруки,dirty.pl,грязный.pl,Adjective,
CL-eχula,CL-ехула,long,длинный,Adjective,
tʃ'ilo,ч1ило,curved,кривой,Adjective,
hinduɬu,гьиндулъу,there,там,Adverb,
ɬatɬ'u,лъакьу,last_night,вчера,Adverb,
hini,гьини,inside,внутрь,Adverb,
innaɡulo,иннагуло,constantly,постоянно,Adverb,
t'ulu,т1улу,strongly.pl,сильно.pl,Adverb,
hinu,гьину,inside.pl,внутри.pl,Adverb,
CL-eχːudi<CL>a,CL-еххуди<CL>а,back,обратно,Adverb,
hoɬu,гьолъу,here,here,Adverb,
hedeɬu,гьеделъу,there,там,Adverb,
ʃːela,щела,tomorrow,завтра,Adverb,
CL-V-hu,CL-V-гьу,a_lot_of.pl,много.pl,Adverb,
hindʒello,гьинджелло,still,еще,Adverb,
CL-adi,CL-ади,against,напротив,Adverb,
ɬoba,лъоба,up,вверх,Adverb,
hiʔa,гьиъа,above.pl,вверху.pl,Adverb,
onʃiɡu,оншигу,once,однажды,Adverb,
zudi,зуди,up,вверх,Adverb,
kotɬi,кол1и,a_little,мало,Adverb,
kʷanɬi,кванлъи,all_night,всю_ночь,Adverb,
pora,пора,time,пора,Adverb,
badi,бади,against,напротив,Adverb,
zolo,золо,very.pl,очень.pl,Adverb,
onʃːilo,онщило,later,потом,Adverb,
heɬu,гьелъу,there,там,Adverb,
onʃiɡulo,оншигуло,never,никогда,Adverb,
t'ulu,т1улу,bad,плохо,Adverb,
hiʔoja,гьиъоя,next_year,в_следующем_году,Adverb,
ʒeɬal,желъал,today,сегодня,Adverb,
herbihi,гьербигьи,then,тогда,Adverb,
erq'a,еркъа,soon,скоро,Adverb,
hindiɬu,гьиндилъу,there,там,Adverb,
heɡeɬu,гьегелъу,there,там,Adverb,
hoba,гьоба,hither,сюда,Adverb,
hadu,гьаду,in_the_face,в_лицо,Adverb,
iʃiba,ишиба,home<CL>,домой<CL>,Adverb,
suni,суни,yesterday,вчера,Adverb,
tʃomtʃulo,чомчуло,several_times,несколько_раз,Adverb,
herbihi,гьербигьи,then.obl,тогда.obl,Adverb,
herbadi,гьербади,further,прочь,Adverb,
hinu,гьину,inside,внутри,Adverb,
iʃu,ишу,home,дома,Adverb,
inu,ину,where.obl,где.obl,Adverb,
ts'innitʃ'iɡu,ц1иннич1игу,suddenly,вдруг,Adverb,
inna,инна,when.obl,когда.obl,Adverb,
heba,гьеба,thither,туда,Adverb,
kodi,коди,in_hands,в_руки,Adverb,
ts'initʃ'iɡu,ц1инич1игу,suddenly,внезапно,Adverb,
hindʒello,гьинджелло,again,опять,Adverb,
sunni,сунни,yesterday,вчера,Adverb,
χeχi,хехи,fast,быстро,Adverb,
hinni,гьинни,inside,внутрь,Adverb,
tʃom,чом,how_many,сколько,Adverb,
tɬeru,л1еру,near,близко,Adverb,
onʃilo,оншило,later,потом,Adverb,
ts'inni<ɡu>tʃ'iɡu,ц1инни<гу>ч1игу,suddenly,вдруг,Adverb,
χʷant'u,хвант1у,whole_day,весь_день,Adverb,
χapidu,хапиду,immediately,immediately,Adverb,
zolo,золо,very,очень,Adverb,
hɡonoɬu,гьгонолъу,there,там,Adverb,
CL-eχudu,CL-ехуду,after,после,Adverb,
rejdu,рейду,outside,во_дворе,Adverb,
haʔole,гьаъоле,apparently,видимо,Adverb,
hitɬ'u,гьикьу,below,внизу,Adverb,
hindʒe,гьиндже,therefore,therefore,Adverb,
CL-eχudi<CL>a,CL-ехуди<CL>а,behind.pl,сзади.pl,Adverb,
hotʃ'o,гьоч1о,most,самый,Adverb,
honoɬu,гьонолъу,here,здесь,Adverb,
hiʔa,гьиъа,above,вверху,Adverb,
tʃom,чом,several,несколько,Adverb,
herbihi,гьербигьи,then,тогда,Adverb,
hindʒel,гьинджел,now,сейчас,Adverb,
CL-eχudi<CL>a,CL-ехуди<CL>а,behind,сзади,Adverb,
doɬu,долъу,there,там,Adverb,
hitɬ'u,гьикьу,below.pl,внизу.pl,Adverb,
CL-eχːudu,CL-еххуду,after,после,Adverb,
χʷant'ulo,хвант1уло,whole_day,целый_день,Adverb,
ɡu,гу,num,num,cardnum,aff
ja,я,if,если,Connective,
i,и,and,и,Connective,
a,а,a,a,Connective,
amma,амма,but,но,Connective,
heɡe-sL,гьеге-СL,dem.m.obl.pl,dem.m.obl.pl,Demonstrative,
hidi-CL,гьиди-CL,dem,dem,Demonstrative,
hinɡi-CL,гьинги-CL,dem,dem,Demonstrative,
hene,гьене,dem,dem,Demonstrative,
hindu-CL,гьинду-CL,dem,dem,Demonstrative,
he,гье,dem,dem,Demonstrative,
heneʃu,гьенешу,dem.m.obl,dem.m.obl,Demonstrative,
hel,гьел,dem.obl,dem.obl,Demonstrative,
hono,гьоно,dem,dem,Demonstrative,
he-CL,гье-CL,dem.m.obl,dem.m.obl,Demonstrative,
hindi-CL,гьинди-CL,dem.m.obl,dem.m.obl,Demonstrative,
heʃu,гьешу,dem.m.obl,dem.m.obl,Demonstrative,
heje,гьейе,dem,dem,Demonstrative,
heɡe-CL,гьеге-CL,dem,dem,Demonstrative,
he-CL,гье-CL,dem,dem,Demonstrative,
he<CL>e-CL,гье<CL>е-CL,dem,dem,Demonstrative,
hindi-CL,гьинди-CL,dem,dem,Demonstrative,
he<CL>e-CL,гье<CL>е-CL,dem,dem,Demonstrative,
heɡeʃu,гьегешу,dem.m.obl,dem.m.obl,Demonstrative,
heɡe-CL,гьеге-CL,dem.m.obl,dem.m.obl,Demonstrative,
hiɡi-CL,гьиги-CL,dem,dem,Demonstrative,
ho-CL,гьо-CL,dem,dem,Demonstrative,
heɡe-sL,гьеге-СL,dem.obl,dem.obl,Demonstrative,
heɡe-CL,гьеге-CL,dem.obl.pl,dem.obl.pl,Demonstrative,
hede,гьеде,dem,dem,Demonstrative,
heɡe-CL,гьеге-CL,dem.obl.pl,dem.obl.pl,Demonstrative,
oh,огь,oh,oh,Interjection,
j,й,f(gen),f(gen),n,aff
wul,вул,m.pl,m.pl,n,aff
b,б,an(gen),an(gen),n,aff
ɬij,лъий,comp,comp,n,aff
w,в,m(gen),m(gen),n,aff
eri,ери,inf.obl,NA,NA,aff
itɬoɡʷa,ил1огва,медленно.pl,NA,NA,
ul,ул,plᵢ,NA,NA,aff
tɬol,л1ол,gen.pl,NA,NA,aff
itɬoqχi,ил1охъи,медленно,NA,NA,
j,й,pf,NA,NA,aff
tʃ'it'ir,ч1ит1ир,узкий,NA,NA,
nija,ния,fut,NA,NA,aff
χo,хо,ad.lat,NA,NA,aff
iʃːil,ищил,мы.excl,NA,NA,
palatentse,палатенце,полотенце,NA,NA,
ihuɡu,игьугу,много,NA,NA,
elola,элола,далеко,NA,NA,
reɬo,релъо,озеро,NA,NA,
l,л,pl,NA,NA,aff
r,р,msd,NA,NA,aff
b,б,¬an1,NA,NA,aff
itɬoɡʷa,ил1огва,медленно,NA,NA,
bolo,боло,indef,NA,NA,aff
w,в,m,NA,NA,aff
ali,али,Али,NA,NA,
tɬi,л1и,inter,NA,NA,aff
qχi,хъи,instr,NA,NA,aff
do,до,jus,NA,NA,aff
om,ом,imp,NA,NA,aff
rbi,рби,ptcp+time.obl,NA,NA,aff
ol,ол,pl,NA,NA,aff
uq',укъ,быть,NA,NA,
o,о,hab,NA,NA,aff
lamduri,ламдури,cond,NA,NA,aff
esːa,есса,neg.fut,NA,NA,aff
hanʔoχʷeri,гьанъохвери,потеть.¬pst,NA,NA,
j,й,f,NA,NA,aff
ʃu,шу,m.obl,NA,NA,aff
tɬi,л1и,gen,NA,NA,aff
j,й,cvb,NA,NA,aff
otɬ'u,окьу,между,NA,NA,
lo,ло,in.lat,NA,NA,aff
ob,об,imp,NA,NA,aff
misiχʷarda,мисихварда,NA,NA,NA,
b,б,ptcp,NA,NA,aff
sːi,сси,atr.obl,NA,NA,aff
NA,NA,NA,NA,NA,aff
b,б,¬an1(gen),NA,NA,aff
χa,ха,ad,NA,NA,aff
j,й,dat,NA,NA,aff
rbihi,рбигьи,pst.ptcp+время,NA,NA,aff
onɬ,онлъ,caus,NA,NA,aff
la,ла,in,NA,NA,aff
nij,ний,pf,NA,NA,aff
CL-V-ʔeri,CL-V-ъери,приходить,NA,NA,
lamdur,ламдур,cond,NA,NA,aff
eri,ери,inf,NA,NA,aff
j,j,pf,NA,NA,aff
ɬolo,лъоло,ctrf,NA,NA,aff
oɬ,олъ,caus,NA,NA,aff
sːi,сси,atr.obl.pl,NA,NA,aff
r,р,msd.obl,NA,NA,aff
ul,ул,pl,NA,NA,aff
b,б,an,NA,NA,aff
ija,ия,prs.ptcp.obl,NA,NA,aff
nij,ний,cvb,NA,NA,aff
rbi,рби,ptcp+time,NA,NA,aff
mor,мор,cond,NA,NA,aff
di,ди,lat,NA,NA,aff
hartɬ'u,гьаркьу,braid,женская_коса,Noun,
motɬ'i,мокьи,dream.pl.obl,сон.pl.obl,Noun,
anzi,анзи,snow,снег,Noun,
k'ol,к1ол,mouth.pl.obl,рот.pl.obl,Noun,
majmallak,маймаллак,monkey,обезьяна,Noun,
beχun,бехун,shoulder.pl.obl,плечо.pl.obl,Noun,
ts'ːunno,ц1ц1унно,navel.pl.obl,пупок.pl.obl,Noun,
intsːi,инцци,spring.obl,родник.obl,Noun,
nidu,ниду,eyelash.pl.obl,ресница.pl.obl,Noun,
iʃom,ишом,young_goat.pl.obl,молодой_козел.pl.obl,Noun,
anʒi,Анжи,Makhachkala,Махачкала,Noun,
k'ːunu,к1к1уну,kidney.pl.obl,почка.pl.obl,Noun,
laʒbar,лажбар,paint,краска,Noun,
seħru,сех1ру,magic,магия,Noun,
himʔu,гьимъу,bottom.pl.obl,дно.pl.obl,Noun,
q'iri,къири,wheat.pl.obl,пшеница.pl.obl,Noun,
beʃen,бешен,nest,гнездо,Noun,
ts'ek'aɬol,ц1ек1алъол,ring.obl,кольцо.obl,Noun,
baħaraj,бах1арай,bride,невеста,Noun,
susuk'u,сусук1у,sieve.pl.obl,сито.pl.obl,Noun,
ħetʃ'ink'a,х1еч1инк1а,maize,кукуруза,Noun,
resi,реси,moth.pl,моль.pl,Noun,
muχa,муха,fairy_tale,сказка,Noun,
onʃːi,онщи,earth,земля,Noun,
ahulluɬi,агьуллулъи,descendants,отомки,Noun,
tɬi,л1и,gen.sgᵢ,gen.sgᵢ,Noun,aff
ɡoʒo,гожо,molartooth,коренной_зуб,Noun,
baħaraj,бах1арай,bride.pl,жених.pl,Noun,
ɡaza,газа,pick_axe.obl,кирка.obl,Noun,
anɡa,анга,branch.obl,ветка.obl,Noun,
ali,али,Ali,Ali,Noun,
miqχi,михъи,mustache.pl,усы.pl,Noun,
himʔal,гьимъал,briar.pl.obl,шиповник.pl.obl,Noun,
rekun,рекун,thread.obl,нитка.obl,Noun,
tʃunk'a,чунк1а,foot.obl,нога.obl,Noun,
miɡa,мига,spindle,веретено,Noun,
hĩhĩ,гьи̃гьи̃,pear.pl.obl,груша.pl.obl,Noun,
k'ol,к1ол,mouth.pl,рот.pl,Noun,
k'unts'i,к1унц1и,dog_puppy.pl,щенок.pl,Noun,
burtʃ'ina,бурч1ина,barley,ячмень,Noun,
awʔardoba,авъардоба,hat.pl.obl,шапка.pl.obl,Noun,
misiχʷara,мисихвара,spider.pl.obl,паук.pl.obl,Noun,
ħarpi,х1арпи,letter,буква,Noun,
nuso,нусо,nephew.obl,племянник.obl,Noun,
sori,сори,fox.obl,лиса.obl,Noun,
t'amsa,т1амса,carpet,ковер,Noun,
bel,бел,metal_shovel,металическая_лопата,Noun,
inɡura,ингура,window.obl,окно.obl,Noun,
inɡura,ингура,chudu(pastry).obl,чуду(выпечка).obl,Noun,
uʃkulol,ушкулол,school.pl,школа.pl,Noun,
hon,гьон,village.obl,село.obl,Noun,
ʁʷarzawu,гъварзаву,maul.pl,кувалда.pl,Noun,
tɬ'ertʃin,кьерчин,lizard.obl,ящерица.obl,Noun,
watsʔalʃu,вацъалшу,cousin(male).obl,двоюродный_брат.obl,Noun,
tʃarχi,чархи,reel.obl,катушка.obl,Noun,
honno,гьонно,forehead,лоб,Noun,
muħammadi,мух1аммади,Muhammad,Магомед,Noun,
milki,милки,house,дом,Noun,
ts'ek'a,ц1ек1а,thimble.obl,наперсток.obl,Noun,
ʁaʒu,гъажу,arm,рука,Noun,
χent'i,хент1и,snivel.pl,сопля.pl,Noun,
nur,нур,light.obl,свет.obl,Noun,
bot'i,бот1и,blind.pl,слепой.pl,Noun,
qχota,хъота,hand_palm.obl,ладонь.obl,Noun,
roχon,рохон,stairs.pl.obl,лестница.pl.obl,Noun,
urusː,урусс,Russian,русский,Noun,
rekun,рекун,thread,нитка,Noun,
ɡurdo,гурдо,shirt,рубашка,Noun,
ima,има,father.pl,отец.pl,Noun,
sakinat,Сакинат,Sakinat.obl,Сакинат.obl,Noun,
anʒidi,анжиди,axe.obl,топор.obl,Noun,
toχtur,тохтур,doctor,врач,Noun,
tʃ'omu,ч1ому,flint.pl.obl,кремень.pl.obl,Noun,
ts'umur,ц1умур,fork.pl.obl,вилка.pl.obl,Noun,
miʒa,мижа,heel.obl,пятка.obl,Noun,
kurt'a,курт1а,hammer.pl.obl,молоток.pl.obl,Noun,
raχasi,рахаси,chain.obl,цепь.obl,Noun,
dʒindʒi,джинджи,flower.pl.obl,цветок.pl.obl,Noun,
toto,тото,spittle.pl.obl,плевок.pl.obl,Noun,
reɬo,релъо,sea.pl,море.pl,Noun,
kami,ками,loss,убыток,Noun,
toto,тото,spittle,плевок,Noun,
motʃi,мочи,wind.pl.obl,ветер.pl.obl,Noun,
qχotːi,хъотти,deal,договор,Noun,
tɬ'eχʷa,кьехва,dust.pl.obl,пыль.pl.obl,Noun,
sit'a,сит1а,straw.obl,солома.obl,Noun,
muɬa,мулъа,fingernail.pl.obl,ноготь.pl.obl,Noun,
adam,адам,person.pl.obl,человек.pl.obl,Noun,
sit'a,сит1а,straw.pl.obl,солома.pl.obl,Noun,
q'ʷank'ʷa,къванк1ва,throat,горло,Noun,
epaloholi,эпалогьоли,vetch,кормовой_горошек,Noun,
ɬuda,лъуда,wood.pl.obl,древесина.pl.obl,Noun,
q'amu,къаму,rooster_comb,петушиный_гребень,Noun,
ts'ul,ц1ул,stick,палка,Noun,
tʃunk'a,чунк1а,foot.pl,нога.pl,Noun,
χːin,ххин,board,доска,Noun,
tɬ'ertʃːin,кьерччин,lizard,ящерица,Noun,
reʔitɬi,реъил1и,liver.gen,печень.gen,Noun,
ɡoʒo,гожо,molartooth.obl,коренной_зуб.obl,Noun,
isib,исиб,side.pl.obl,бок.pl.obl,Noun,
oχo,охо,eye_fluid.pl,выделения_из_глаз.pl,Noun,
tsːana,ццана,splinter,колючка,Noun,
antʃːutɬ'i,анччукьи,shady_slope,теневой_склон,Noun,
askar,аскар,army,армия,Noun,
tɬ'ank'ala,кьанк1ала,hare.pl,заяц.pl,Noun,
danbiqχur,данбихъур,sacrifice,жертвоприношение,Noun,
ts'ːikon,ц1ц1икон,elbow.pl,локоть.pl,Noun,
hortʃ'ːi,гьорч1ч1и,female,самка,Noun,
dunɡil,дунгил,hole,яма,Noun,
rit'utʃ'i,рит1уч1и,deer,олень,Noun,
telewizoru,телевизору,television,телевизор,Noun,
k'ol,к1ол,mouth,рот,Noun,
tʃiraqχi,чирахъи,lamp.obl,лампа.obl,Noun,
qχuqχadir,хъухъадир,saw.pl,пила.pl,Noun,
ħakima,х1акима,official,чиновник,Noun,
kurt'a,курт1а,hammer.pl,молоток.pl,Noun,
ts'ek'a,ц1ек1а,finger.pl,палец.pl,Noun,
ts'ek'a,ц1ек1а,thimble,наперсток,Noun,
bot'i,бот1и,blind,слепой,Noun,
rotɬ'i,рокьи,bone.pl,кость.pl,Noun,
χunsir,хунсир,lung,легкое,Noun,
tɬ'ibdir,кьибдир,dance.pl,танец.pl,Noun,
intʃi,инчи,apple,яблоко,Noun,
odoruk'o,одорук1о,butterfly.pl,бабочка.pl,Noun,
ɬudi,лъуди,firewood.pl.obl,полено.pl.obl,Noun,
tʃ'aχa,ч1аха,plant,растение,Noun,
χːin,ххин,board.pl.obl,доска.pl.obl,Noun,
tʃ'onni,ч1онни,flea.pl,блоха.pl,Noun,
ts'ːa,ц1ц1а,rain,дождь,Noun,
muhu,мугьу,bread.pl,хлеб.pl,Noun,
sajʁʷat,сайгъват,gift,подарок,Noun,
reka,река,belly.pl.obl,живот.pl.obl,Noun,
anʒi,анжи,scar.obl,шрам.obl,Noun,
qχaman,хъаман,boar.pl,кабан.pl,Noun,
oχo,охо,eye_fluid,выделения_из_глаз,Noun,
ts'ːikon,ц1ц1икон,elbow,локоть,Noun,
raʒi,ражи,garlic,чеснок,Noun,
tɬ'el,кьел,ashes,зола,Noun,
q'orolajlal,къоролайлал,widow.pl,вдова.pl,Noun,
zumura,зумура,flute,флейта,Noun,
rutɬ'utʃul,рукьучул,belt.obl,пояс.obl,Noun,
resːi,ресси,throat.pl,горло.pl,Noun,
k'urk'ul,к1урк1ул,cherry_plum.pl,алыча.pl,Noun,
tʃ'itʃ'om,ч1ич1ом,pebble.pl,камешек.pl,Noun,
miʒa,мижа,heel.pl,пятка.pl,Noun,
tɬut'i,л1ут1и,wedge,клин,Noun,
q'alam,къалам,pencil,карандаш,Noun,
rahal,рагьал,spike.pl,острие.pl,Noun,
ʒala,жала,wire,проволока,Noun,
sur,сур,sand.pl,песок.pl,Noun,
imatɬ'oru,имакьору,father_in_law.pl,тесть/свекор.pl,Noun,
ʃen,шен,seed.pl.obl,семя.pl.obl,Noun,
anɬi,анлъи,ram.obl,баран.obl,Noun,
ʃirʃil,ширшил,cockroach,таракан,Noun,
tel,тел,wire,проволока,Noun,
dunɡil,дунгил,hole.pl,яма.pl,Noun,
rotɬ'utʃul,рокьучул,belt.pl.obl,пояс.pl.obl,Noun,
ts'ːa,ц1ц1а,star.obl,звезда.obl,Noun,
rek'ːu,рек1к1у,pine,сосна,Noun,
χabar,хабар,story,история,Noun,
zĩwu,зи̃ву,cow.pl,корова.pl,Noun,
ɡeʒi,гежи,bitch.obl,сука.obl,Noun,
kokom,коком,plum,слива,Noun,
q'aj,къай,dishes,посуда,Noun,
anʒidi,анжиди,axe.pl,топор.pl,Noun,
enʃːur,энщур,flour,мука,Noun,
beʃen,бешен,nest.pl,гнездо.pl,Noun,
tʃ'or,ч1ор,rye,рожь,Noun,
χaɡi,хаги,cauldron,котел,Noun,
araq'i,аракъи,alcoholic_drink.obl,спиртной_напиток.obl,Noun,
ensibol,энсибол,eyebrow.pl,бровь.pl,Noun,
ruʁun,ругъун,wound,рана,Noun,
reʔa,реъа,paw.pl.obl,лапа.pl.obl,Noun,
χaɡi,хаги,cauldron.pl.obl,котел.pl.obl,Noun,
χaɬi,халъи,people,народ,Noun,
ʁanni,гъанни,crow.obl,ворона.obl,Noun,
ʒuna,жуна,chin.obl,подбородок.obl,Noun,
ɡama,гама,ship,корабль,Noun,
nuso,нусо,son_in_law.pl.obl,зять.pl.obl,Noun,
bestaladul,бесталадул,orphan.pl,сирота.pl,Noun,
tɬ'i,кьи,sub,sub,Noun,
χur,хур,field.pl.obl,поле.pl.obl,Noun,
ts'enni,ц1енни,goat.obl.pl,коза.obl.pl,Noun,
unso,унсо,ox.pl,вол.pl,Noun,
ɡudur,гудур,trap.pl.obl,ловушка.pl.obl,Noun,
tʃ'ureɡi,ч1уреги,wheel.pl,колесо.pl,Noun,
χuts'u,хуц1у,tongs,щипцы_для_углей,Noun,
ruʁun,ругъун,wound.pl.obl,рана.pl.obl,Noun,
resːi,ресси,throat.pl.obl,горло.pl.obl,Noun,
sek'u,сек1у,cork.pl.obl,пробка.pl.obl,Noun,
tʃakmaji,чакмайи,boot.obl,сапог.obl,Noun,
rahal,рагьал,edge.obl,край.obl,Noun,
qχantʃi,хъанчи,sculpture,статуя,Noun,
resːi,ресси,throat,горло,Noun,
uholɡulu,угьолгулу,person.pl.obl,человек.pl.obl,Noun,
q'orolaj,къоролай,widow.obl,вдова.obl,Noun,
ts'ek'a,ц1ек1а,thimble.pl,наперсток,Noun,
k'unts'i,к1унц1и,dog_puppy.pl.obl,щенок.pl.obl,Noun,
q'orolawlal,къоролавлал,widower.pl,вдовец.pl,Noun,
reχin,рехин,wedding.obl,свадьба.obl,Noun,
